STRUCTURE TYPE,FLOOR,BASEMENT,DEWLLING UNIT,STRUCUTRE AGE,STRUCTURE 
Pucca,6, ,10,11-20,Residential
Pucca,7, ,18,21-30,Residential
Pucca,6, ,10,11-20,Residential
Pucca,6, ,12,11-20,Residential
Pucca,4, ,8,21-30,Residential
Pucca,5, ,8,11-20,Residential
Pucca,4, ,8,11-20,Residential
Pucca,5, ,10,11-20,Residential
Pucca,4, ,8,11-20,Residential
Pucca,5, ,8,11-20,Mixed Use
Pucca,4, ,8,21-30,Residential
Pucca,2, ,4,31-40,Residential
Pucca,6, ,10,21-30,Residential
Pucca,4, ,8,11-20,Mixed Use
Pucca,4, ,8,11-20,Residential
Pucca,5, ,10,21-30,Residential
Pucca,5, ,12,11-20,Mixed Use
Pucca,4, ,9,21-30,Mixed Use
Pucca,1, ,1,11-20,Residential
Pucca,4, ,8,11-20,Residential
Pucca,6, ,12,11-20,Mixed Use
Pucca,6, ,12,11-20,Mixed Use
Pucca,6, ,12,11-20,Residential
Pucca,6, ,10,21-30,Residential
Pucca,6, ,5,11-20,Residential
Pucca,5, ,5,11-20,Residential
Pucca,5, ,10,11-20,Residential
Pucca,5, ,10,11-20,Mixed Use
Pucca,3, ,3,11-20,Residential
Pucca,3, ,3,21-30,Residential
Pucca,5, ,16,11-20,Mixed Use
Pucca,4, ,4,21-30,Residential
Pucca,6, ,20,21-30,Residential
Pucca,4, ,8,11-20,Mixed Use
Pucca,3, ,6,21-30,Residential
Pucca,6, ,18,11-20,Mixed Use
Pucca,3, ,4,31-40,Mixed Use
Pucca,3, ,6,31-40,Mixed Use
Pucca,6, ,12,21-30,Residential
Pucca,5, ,10,11-20,Residential
Pucca,3, ,6,11-20,Residential
Pucca,10, ,36,11-20,Residential
Pucca,7, ,12,11-20,Residential
Pucca,2, ,2,11-20,Mixed Use
Semi-Pucca,1, ,3,11-20,Mixed Use
Pucca,1, ,2,11-20,Residential
Pucca,3, ,6,21-30,Residential
Pucca,2, ,1,11-20,Mixed Use
Pucca,1, ,3,11-20,Mixed Use
Pucca,2, , ,11-20,Commercial
